model_id,cell_id,turn_label,cell_kind,difficulty,feedback_validity,tone,n_items,n_endpoints,mean_m1,n_m1,mean_m2,n_m2,mean_entropy_mean,n_entropy_mean,mean_length_tokens,n_length_tokens,mean_accuracy,n_accuracy,mean_non_answer_rate,n_non_answer_rate,mean_resample_invalid_rate,n_resample_invalid_rate,ci95_lower_m1,ci95_upper_m1,ci95_lower_non_answer_rate,ci95_upper_non_answer_rate
Qwen/Qwen2.5-7B-Instruct,easy__accurate__hostile,onset,factorial,easy,accurate,hostile,10,10,20.4375,6,0.0,10,0.06197827624953947,10,170.1,10,1.0,10,0.0,10,0.0,10,18.697916666666668,22.333333333333332,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__accurate__hostile,onset_washout,factorial,easy,accurate,hostile,10,10,23.973214285714285,7,0.0,10,0.025136129149366113,10,99.3,10,1.0,10,0.0,10,0.0,10,23.178124999999998,24.643080357142857,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,measured,factorial,easy,accurate,neutral,10,10,24.9375,5,0.011111111111111108,9,0.05843646425597373,10,145.9,10,1.0,10,0.0,10,0.01,10,24.1625,25.6878125,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,onset,factorial,easy,accurate,neutral,10,10,20.17500001192127,10,0.011111111111111108,9,0.01856802469296218,10,139.1,10,1.0,10,0.0,10,0.01,10,17.787500083149837,22.299999988973152,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,onset_washout,factorial,easy,accurate,neutral,10,10,24.4375,10,0.0,10,0.058856741167110475,10,53.8,10,1.0,10,0.0,10,0.0,10,23.5246875,25.2753125,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__hostile,measured,factorial,easy,malfunctioning_always_fail,hostile,10,10,23.7875,5,0.05555555555555555,9,0.03324871866092211,10,163.8,10,1.0,10,0.0,10,0.01,10,22.5125,24.875,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,factorial,easy,malfunctioning_always_fail,hostile,10,10,17.106249952317192,10,0.05555555555555555,9,0.10418526020694728,10,119.2,10,0.9,10,0.0,10,0.01,10,8.542968702317195,22.5690625,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__neutral,measured,factorial,easy,malfunctioning_always_fail,neutral,10,10,23.925,5,0.019999999999999997,10,0.032135013038209786,10,155.8,10,1.0,10,0.0,10,0.0,10,21.575,26.025,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,factorial,easy,malfunctioning_always_fail,neutral,10,10,19.13750000000728,10,0.033333333333333326,9,0.017256807560461166,10,165.7,10,1.0,10,0.0,10,0.01,10,16.799687513127758,21.187499976456166,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,measured,factorial,hard,accurate,hostile,10,10,9.10937497019768,4,0.1857142857142857,7,0.01945901075977114,10,363.7,10,0.8571428571428571,7,0.3,10,0.13999999999999999,10,-12.671875,20.937499970197678,0.09750000000000014,0.6
Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,onset,factorial,hard,accurate,hostile,10,10,20.20000000000009,5,0.15,6,0.05638493942440812,10,359.7,10,0.8333333333333334,6,0.4,10,0.2,10,17.07500000000018,22.7,0.1,0.7
Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,onset_washout,factorial,hard,accurate,hostile,10,10,13.33333331346512,6,0.08,5,0.011001438468381832,10,299.7,10,0.8571428571428571,7,0.3,10,0.16999999999999998,10,-1.2083333730697607,22.083333333333332,0.0,0.6
Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,measured,factorial,hard,accurate,neutral,10,10,9.367187395691804,8,0.08,5,0.004740014751481005,10,333.8,10,0.7777777777777778,9,0.1,10,0.14,10,-3.5914065003397226,20.689062440395436,0.0,0.3
Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,onset,factorial,hard,accurate,neutral,10,10,7.8402777912334685,9,0.024999999999999994,4,0.004578231402616923,10,309.3,10,0.7777777777777778,9,0.1,10,0.18,10,-3.751388874302904,16.9378472744048,0.0,0.3
Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,onset_washout,factorial,hard,accurate,neutral,10,10,9.054687529058498,8,0.0,4,0.02780487165380001,10,218.3,10,0.7777777777777778,9,0.1,10,0.16,10,-1.2814452521664907,18.84375,0.0,0.3
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__hostile,measured,factorial,hard,malfunctioning_always_fail,hostile,10,10,8.708333313443292,6,0.08,5,0.035931773399279554,10,352.6,10,0.625,8,0.2,10,0.13,10,-6.812500019868214,21.52083331346512,0.0,0.5
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,factorial,hard,malfunctioning_always_fail,hostile,10,10,2.8984374832077506,8,0.04999999999999999,4,0.026139939931209645,10,341.2,10,0.625,8,0.2,10,0.18,10,-7.9531249538752755,12.219726545821555,0.0,0.5
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__neutral,measured,factorial,hard,malfunctioning_always_fail,neutral,10,10,2.205357316278472,7,0.15,6,0.007613668195310566,10,348.2,10,0.5555555555555556,9,0.1,10,0.13,10,-12.892856802259287,16.10133941622711,0.0,0.3
Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,factorial,hard,malfunctioning_always_fail,neutral,10,10,-1.1666666438193483,9,0.18,5,0.031836724878380865,10,310.5,10,0.4444444444444444,9,0.1,10,0.2,10,-10.709374976702454,9.043402919692193,0.0,0.3
google/gemma-2-2b-it,easy__accurate__hostile,measured,factorial,easy,accurate,hostile,10,10,7.612500078830635,10,0.1,9,0.4419400206714647,10,69.6,10,0.9,10,0.0,10,0.01,10,3.5375001760845772,10.175625031555242,0.0,0.0
google/gemma-2-2b-it,easy__accurate__hostile,onset,factorial,easy,accurate,hostile,10,10,7.520833401436296,6,,0,0.4606434086436337,10,121.5,10,0.8333333333333334,6,0.4,10,0.51,10,2.9791666855065464,10.916666796586165,0.1,0.7
